subject_ranking,subject_name,global_ranking,school_name,country,area,subject_score,global_score,enrollment,url
168,civil-engineering,129,Seoul National University (SNU),South Korea,Seoul,33.5,67.5,"26,209",https://www.usnews.com/education/best-global-universities/seoul-national-university-snu-503456
169,civil-engineering,136,University of Alberta,Canada,Edmonton,33.3,67.1,"32,338",https://www.usnews.com/education/best-global-universities/university-of-alberta-499977
170,civil-engineering,240,Royal Institute of Technology,Sweden,Stockholm,33.1,61,N/A,https://www.usnews.com/education/best-global-universities/royal-institute-of-technology-505970
171,civil-engineering,300,Western University (University of Western Ontario),Canada,London (Canada),33.1,58.2,N/A,https://www.usnews.com/education/best-global-universities/western-university-university-of-western-ontario-499965
172,civil-engineering,917,Lehigh University,United States,Bethlehem,32.5,40.6,"6,459",https://www.usnews.com/education/best-global-universities/lehigh-university-213543
173,civil-engineering,429,Universidade de Coimbra,Portugal,Coimbra,32,53.7,"21,429",https://www.usnews.com/education/best-global-universities/universidade-de-coimbra-501040
174,civil-engineering,693,Clemson University,United States,Clemson,30.9,45.9,N/A,https://www.usnews.com/education/best-global-universities/clemson-university-217882
175,civil-engineering,"1,452",Toronto Metropolitan University,Canada,Toronto,30.9,28.8,N/A,https://www.usnews.com/education/best-global-universities/toronto-metropolitan-university-499982
176,civil-engineering,299,Oregon State University,United States,Corvallis,30.7,58.3,N/A,https://www.usnews.com/education/best-global-universities/oregon-state-university-209542
177,civil-engineering,360,Tokyo Institute of Technology,Japan,Tokyo,30.7,55.7,"9,878",https://www.usnews.com/education/best-global-universities/tokyo-institute-of-technology-504950
178,civil-engineering,764,Indian Institute of Technology (IIT) - Kharagpur,India,Kharagpur,30.5,44.1,N/A,https://www.usnews.com/education/best-global-universities/indian-institute-of-technology-iit-kharagpur-500533
179,civil-engineering,789,University of Sherbrooke,Canada,Sherbrooke,29.1,43.4,N/A,https://www.usnews.com/education/best-global-universities/university-of-sherbrooke-506839
180,civil-engineering,385,Zhengzhou University,China,Zhengzhou,29,54.9,N/A,https://www.usnews.com/education/best-global-universities/zhengzhou-university-502623
181,civil-engineering,605,Indian Institute of Technology (IIT) - Madras,India,Chennai,28.9,48.2,N/A,https://www.usnews.com/education/best-global-universities/indian-institute-of-technology-iit-madras-502278
182,civil-engineering,662,Ocean University of China,China,Qingdao,28.8,46.6,N/A,https://www.usnews.com/education/best-global-universities/ocean-university-of-china-502491
183,civil-engineering,186,Universite Grenoble Alpes (UGA),France,Saint-Martin-d'Heres,28.7,63.6,"50,868",https://www.usnews.com/education/best-global-universities/universite-grenoble-alpes-uga-528916
184,civil-engineering,219,Xi'an Jiaotong University,China,Xi'an,28.3,61.9,"44,942",https://www.usnews.com/education/best-global-universities/xian-jiaotong-university-503987
185,civil-engineering,466,University of Canterbury,New Zealand,Christchurch,27.8,52.7,"15,245",https://www.usnews.com/education/best-global-universities/university-of-canterbury-504532
186,civil-engineering,186,Technische Universitat Dresden,Germany,Dresden,27.3,63.6,"30,578",https://www.usnews.com/education/best-global-universities/technische-universitat-dresden-501011
187,civil-engineering,"1,140",Jiangsu University of Science & Technology,China,Zhenjiang,26.9,35.6,N/A,https://www.usnews.com/education/best-global-universities/jiangsu-university-of-science-technology-529475
188,civil-engineering,156,Universite de Montreal,Canada,Montreal,26.8,65.9,"38,189",https://www.usnews.com/education/best-global-universities/universite-de-montreal-506159
189,civil-engineering,120,Universidade de Sao Paulo,Brazil,Sao Paulo,26.7,68.5,"82,010",https://www.usnews.com/education/best-global-universities/universidade-de-sao-paulo-500437
190,civil-engineering,"1,726",Chongqing Jiaotong University,China,Chongqing,26.1,22.3,N/A,https://www.usnews.com/education/best-global-universities/chongqing-jiaotong-university-529852
191,civil-engineering,739,Isfahan University of Technology,Iran,Isfahan,26.1,44.6,"11,323",https://www.usnews.com/education/best-global-universities/isfahan-university-of-technology-502590
192,civil-engineering,"1,422",University of Guilan,Iran,Rasht,26,29.6,N/A,https://www.usnews.com/education/best-global-universities/university-of-guilan-529421
193,civil-engineering,856,Braunschweig University of Technology,Germany,Braunschweig,25.9,41.9,N/A,https://www.usnews.com/education/best-global-universities/braunschweig-university-of-technology-505131
194,civil-engineering,314,Pontificia Universidad Catolica de Chile,Chile,Santiago,25,57.7,"31,579",https://www.usnews.com/education/best-global-universities/pontificia-universidad-catolica-de-chile-506168
195,civil-engineering,"1,498",Vilnius Gediminas Technical University,Lithuania,Vilnius,24.8,27.8,N/A,https://www.usnews.com/education/best-global-universities/vilnius-gediminas-technical-university-529345
196,civil-engineering,397,Laval University,Canada,Quebec City,24.6,54.5,"28,611",https://www.usnews.com/education/best-global-universities/laval-university-505699
197,civil-engineering,230,North Carolina State University,United States,Raleigh,24.6,61.5,"31,527",https://www.usnews.com/education/best-global-universities/north-carolina-state-university-199193
198,civil-engineering,363,Cairo University,Egypt,Giza,23.9,55.6,"208,524",https://www.usnews.com/education/best-global-universities/cairo-university-501834
199,civil-engineering,487,University of Hannover,Germany,Hannover,22.8,51.7,N/A,https://www.usnews.com/education/best-global-universities/university-of-hannover-503676
200,civil-engineering,"1,476",Beijing University of Civil Engineering & Architecture,China,Beijing,22.7,28.3,N/A,https://www.usnews.com/education/best-global-universities/beijing-university-of-civil-engineering-architecture-529765
1,clinical-medicine,1,Harvard University,United States,Cambridge (U.S.),100,100,"21,887",https://www.usnews.com/education/best-global-universities/harvard-university-166027
2,clinical-medicine,10,Johns Hopkins University,United States,Baltimore,90.4,84.7,"17,584",https://www.usnews.com/education/best-global-universities/johns-hopkins-university-162928
3,clinical-medicine,16,University of California San Francisco,United States,San Francisco,87.8,83.9,N/A,https://www.usnews.com/education/best-global-universities/university-of-california-san-francisco-110699
4,clinical-medicine,18,University of Toronto,Canada,Toronto,87.4,83.8,"77,468",https://www.usnews.com/education/best-global-universities/university-of-toronto-499968
5,clinical-medicine,3,Stanford University,United States,Stanford,87.3,95.2,"16,164",https://www.usnews.com/education/best-global-universities/stanford-university-243744
6,clinical-medicine,6,University of Washington Seattle,United States,Seattle,86.6,86.6,"47,727",https://www.usnews.com/education/best-global-universities/university-of-washington-seattle-236948
7,clinical-medicine,15,University of Pennsylvania,United States,Philadelphia,85.7,84,"21,453",https://www.usnews.com/education/best-global-universities/university-of-pennsylvania-215062
8,clinical-medicine,5,University of Oxford,United Kingdom,Oxford,84.8,86.8,N/A,https://www.usnews.com/education/best-global-universities/university-of-oxford-503637
9,clinical-medicine,7,Columbia University,United States,New York City,84.2,86.5,"21,781",https://www.usnews.com/education/best-global-universities/columbia-university-190150
10,clinical-medicine,25,Duke University,United States,"Durham (North Carolina, U.S.)",83.9,80.7,N/A,https://www.usnews.com/education/best-global-universities/duke-university-198419
11,clinical-medicine,19,University of Michigan,United States,Ann Arbor,83.9,83.4,"46,146",https://www.usnews.com/education/best-global-universities/university-of-michigan-170976
12,clinical-medicine,14,University of California Los Angeles,United States,Los Angeles,83.7,84.2,"43,289",https://www.usnews.com/education/best-global-universities/university-of-california-los-angeles-110662
13,clinical-medicine,11,Yale University,United States,New Haven,83.5,84.6,"13,482",https://www.usnews.com/education/best-global-universities/yale-university-130794
14,clinical-medicine,13,Imperial College London,United Kingdom,London (U.K.),83.3,84.3,"18,455",https://www.usnews.com/education/best-global-universities/imperial-college-london-505571
15,clinical-medicine,12,University College London,United Kingdom,London (U.K.),82.9,84.4,"36,900",https://www.usnews.com/education/best-global-universities/university-college-london-501693
16,clinical-medicine,45,University of Pittsburgh,United States,Pittsburgh,81.6,75.6,"26,575",https://www.usnews.com/education/best-global-universities/university-of-pittsburgh-215293
17,clinical-medicine,51,Karolinska Institutet,Sweden,Stockholm,81.4,74.9,"8,021",https://www.usnews.com/education/best-global-universities/karolinska-institutet-503151
18,clinical-medicine,32,Washington University (WUSTL),United States,St. Louis,81.2,78.1,"14,761",https://www.usnews.com/education/best-global-universities/washington-university-wustl-179867
19,clinical-medicine,20,University of California San Diego,United States,La Jolla,80.6,83.3,N/A,https://www.usnews.com/education/best-global-universities/university-of-california-san-diego-110680
20,clinical-medicine,28,University of Sydney,Australia,Sydney,79.9,79.9,"47,118",https://www.usnews.com/education/best-global-universities/university-of-sydney-505369
21,clinical-medicine,72,Emory University,United States,Atlanta,79.7,73,"13,190",https://www.usnews.com/education/best-global-universities/emory-university-139658
22,clinical-medicine,2,Massachusetts Institute of Technology (MIT),United States,Cambridge (U.S.),79.6,97.7,"11,415",https://www.usnews.com/education/best-global-universities/massachusetts-institute-of-technology-mit-166683
23,clinical-medicine,78,Vanderbilt University,United States,Nashville,79.5,72.7,N/A,https://www.usnews.com/education/best-global-universities/vanderbilt-university-221999
24,clinical-medicine,46,Icahn School of Medicine at Mount Sinai,United States,New York City,79.4,75.4,N/A,https://www.usnews.com/education/best-global-universities/icahn-school-of-medicine-at-mount-sinai-193405
25,clinical-medicine,8,University of Cambridge,United Kingdom,Cambridge (U.K.),79.2,86.1,"20,385",https://www.usnews.com/education/best-global-universities/university-of-cambridge-502149
26,clinical-medicine,21,Cornell University,United States,Ithaca,79,82.9,"24,027",https://www.usnews.com/education/best-global-universities/cornell-university-190415
27,clinical-medicine,50,KU Leuven,Belgium,Leuven,79,75.1,"47,663",https://www.usnews.com/education/best-global-universities/ku-leuven-504785
28,clinical-medicine,24,Northwestern University,United States,Evanston,79,81.2,"18,803",https://www.usnews.com/education/best-global-universities/northwestern-university-147767
29,clinical-medicine,41,University of North Carolina Chapel Hill,United States,Chapel Hill,79,76.7,"30,845",https://www.usnews.com/education/best-global-universities/university-of-north-carolina-chapel-hill-199120
30,clinical-medicine,48,Universite de Paris,France,Paris,78.9,75.2,N/A,https://www.usnews.com/education/best-global-universities/universite-de-paris-529677
31,clinical-medicine,42,University of Copenhagen,Denmark,Copenhagen,78.1,76.2,N/A,https://www.usnews.com/education/best-global-universities/university-of-copenhagen-503710
32,clinical-medicine,33,King's College London,United Kingdom,London (U.K.),78,77.9,"29,240",https://www.usnews.com/education/best-global-universities/kings-college-london-500330
33,clinical-medicine,27,University of Melbourne,Australia,Parkville,77.9,80.3,N/A,https://www.usnews.com/education/best-global-universities/university-of-melbourne-501796
34,clinical-medicine,35,University of British Columbia,Canada,Vancouver,77.6,77.5,"58,590",https://www.usnews.com/education/best-global-universities/university-of-british-columbia-499976
35,clinical-medicine,31,New York University,United States,New York City,77.5,78.5,"36,337",https://www.usnews.com/education/best-global-universities/new-york-university-193900
36,clinical-medicine,138,McMaster University,Canada,Hamilton,77.3,67,N/A,https://www.usnews.com/education/best-global-universities/mcmaster-university-502196
37,clinical-medicine,86,University of Barcelona,Spain,Barcelona,77.3,71.8,"45,004",https://www.usnews.com/education/best-global-universities/university-of-barcelona-500261
38,clinical-medicine,57,Ruprecht Karls University Heidelberg,Germany,Heidelberg,77.2,74.3,"19,347",https://www.usnews.com/education/best-global-universities/ruprecht-karls-university-heidelberg-506277
39,clinical-medicine,65,Erasmus University Rotterdam,Netherlands,Rotterdam,76.8,73.4,N/A,https://www.usnews.com/education/best-global-universities/erasmus-university-rotterdam-500349
40,clinical-medicine,39,University of Amsterdam,Netherlands,Amsterdam,76.7,76.8,N/A,https://www.usnews.com/education/best-global-universities/university-of-amsterdam-502957
41,clinical-medicine,54,McGill University,Canada,Montreal,76.2,74.6,"32,309",https://www.usnews.com/education/best-global-universities/mcgill-university-499986
42,clinical-medicine,160,University of Alabama Birmingham,United States,Birmingham (U.S.),76.1,65.8,N/A,https://www.usnews.com/education/best-global-universities/university-of-alabama-birmingham-100663
43,clinical-medicine,55,Ohio State University,United States,Columbus,75.9,74.4,"55,814",https://www.usnews.com/education/best-global-universities/ohio-state-university-204796
44,clinical-medicine,22,University of Chicago,United States,Chicago,75.8,82.5,N/A,https://www.usnews.com/education/best-global-universities/university-of-chicago-144050
45,clinical-medicine,174,University of Colorado Anschutz Medical Campus,United States,Aurora,75.4,64.4,N/A,https://www.usnews.com/education/best-global-universities/university-of-colorado-anschutz-medical-campus-529678
46,clinical-medicine,26,National University of Singapore,Singapore,Singapore,75.2,80.4,"32,337",https://www.usnews.com/education/best-global-universities/national-university-of-singapore-505009
47,clinical-medicine,129,Seoul National University (SNU),South Korea,Seoul,75.2,67.5,"26,209",https://www.usnews.com/education/best-global-universities/seoul-national-university-snu-503456
48,clinical-medicine,53,Chinese University of Hong Kong,Hong Kong,Shatin,74.6,74.7,"18,468",https://www.usnews.com/education/best-global-universities/chinese-university-of-hong-kong-502973
49,clinical-medicine,48,Sorbonne Universite,France,Paris,74.6,75.2,"44,649",https://www.usnews.com/education/best-global-universities/sorbonne-universite-529569
50,clinical-medicine,136,Baylor College of Medicine,United States,Houston,74.5,67.1,N/A,https://www.usnews.com/education/best-global-universities/baylor-college-of-medicine-223223
51,clinical-medicine,74,University of Glasgow,United Kingdom,Glasgow,74.5,72.8,"28,250",https://www.usnews.com/education/best-global-universities/university-of-glasgow-500110
52,clinical-medicine,133,University of Texas Southwestern Medical Center Dallas,United States,Dallas,74.3,67.4,N/A,https://www.usnews.com/education/best-global-universities/university-of-texas-southwestern-medical-center-dallas-228635
53,clinical-medicine,47,University of Munich,Germany,Munich,74.2,75.3,N/A,https://www.usnews.com/education/best-global-universities/university-of-munich-500951
54,clinical-medicine,37,Monash University,Australia,Clayton,74.1,77,"58,725",https://www.usnews.com/education/best-global-universities/monash-university-500301
55,clinical-medicine,34,University of Edinburgh,United Kingdom,Edinburgh,73.9,77.8,"32,800",https://www.usnews.com/education/best-global-universities/university-of-edinburgh-505832
56,clinical-medicine,156,University of Milan,Italy,Milan,73.9,65.9,N/A,https://www.usnews.com/education/best-global-universities/university-of-milan-506478
57,clinical-medicine,70,Boston University,United States,Boston,73.4,73.1,"27,243",https://www.usnews.com/education/best-global-universities/boston-university-164988
58,clinical-medicine,165,Oregon Health & Science University,United States,Portland,73.4,65.5,N/A,https://www.usnews.com/education/best-global-universities/oregon-health-science-university-209490
59,clinical-medicine,63,University of Manchester,United Kingdom,Manchester,73.4,73.8,N/A,https://www.usnews.com/education/best-global-universities/university-of-manchester-500273
60,clinical-medicine,88,University of Groningen,Netherlands,Groningen,73.2,71.5,"30,009",https://www.usnews.com/education/best-global-universities/university-of-groningen-500967
61,clinical-medicine,55,University of Hong Kong,Hong Kong,Pok Fu Lam,73.2,74.4,"18,087",https://www.usnews.com/education/best-global-universities/university-of-hong-kong-505046
62,clinical-medicine,89,Shanghai Jiao Tong University,China,Shanghai,73,71.3,"37,478",https://www.usnews.com/education/best-global-universities/shanghai-jiao-tong-university-501915
63,clinical-medicine,82,Vrije Universiteit Amsterdam,Netherlands,Amsterdam,73,72.3,N/A,https://www.usnews.com/education/best-global-universities/vrije-universiteit-amsterdam-500669
64,clinical-medicine,80,University of Southern California,United States,Los Angeles,72.9,72.5,"42,502",https://www.usnews.com/education/best-global-universities/university-of-southern-california-123961
65,clinical-medicine,89,University of Birmingham,United Kingdom,Birmingham (U.K.),72.8,71.3,"32,560",https://www.usnews.com/education/best-global-universities/university-of-birmingham-501524
66,clinical-medicine,61,Humboldt University of Berlin,Germany,Berlin,72.6,74,"34,399",https://www.usnews.com/education/best-global-universities/humboldt-university-of-berlin-506698
67,clinical-medicine,129,London School of Hygiene & Tropical Medicine,United Kingdom,London (U.K.),72.5,67.5,N/A,https://www.usnews.com/education/best-global-universities/london-school-of-hygiene-tropical-medicine-503353
68,clinical-medicine,36,University of Queensland,Australia,Brisbane,72.5,77.2,"41,372",https://www.usnews.com/education/best-global-universities/university-of-queensland-500164
69,clinical-medicine,39,Peking University,China,Beijing,72.4,76.8,"31,994",https://www.usnews.com/education/best-global-universities/peking-university-501148
70,clinical-medicine,60,Universite Paris Saclay,France,Saint-Aubin,72.4,74.1,N/A,https://www.usnews.com/education/best-global-universities/universite-paris-saclay-529676
71,clinical-medicine,107,University of Bern,Switzerland,Bern,72.4,69.3,"11,740",https://www.usnews.com/education/best-global-universities/university-of-bern-505657
72,clinical-medicine,57,University of Minnesota Twin Cities,United States,Minneapolis,72.3,74.3,"45,276",https://www.usnews.com/education/best-global-universities/university-of-minnesota-twin-cities-174066
73,clinical-medicine,116,Fudan University,China,Shanghai,72.2,68.8,N/A,https://www.usnews.com/education/best-global-universities/fudan-university-500824
74,clinical-medicine,89,University of Oslo,Norway,Oslo,72.2,71.3,N/A,https://www.usnews.com/education/best-global-universities/university-of-oslo-502680
75,clinical-medicine,152,Case Western Reserve University,United States,Cleveland,72,66.1,"10,953",https://www.usnews.com/education/best-global-universities/case-western-reserve-university-201645
76,clinical-medicine,100,Queen Mary University London,United Kingdom,London (U.K.),71.8,70.2,"20,485",https://www.usnews.com/education/best-global-universities/queen-mary-university-london-503389
77,clinical-medicine,206,Medical University of Vienna,Austria,Vienna,71.7,62.7,"7,274",https://www.usnews.com/education/best-global-universities/medical-university-of-vienna-504165
78,clinical-medicine,120,Universidade de Sao Paulo,Brazil,Sao Paulo,71.7,68.5,"82,010",https://www.usnews.com/education/best-global-universities/universidade-de-sao-paulo-500437
79,clinical-medicine,74,Leiden University,Netherlands,Leiden,71.5,72.8,N/A,https://www.usnews.com/education/best-global-universities/leiden-university-503069
80,clinical-medicine,87,Free University of Berlin,Germany,Berlin,71.2,71.7,"36,792",https://www.usnews.com/education/best-global-universities/free-university-of-berlin-502084
81,clinical-medicine,122,University of Bologna,Italy,Bologna,71.1,68.3,N/A,https://www.usnews.com/education/best-global-universities/university-of-bologna-502210
82,clinical-medicine,95,Ghent University,Belgium,Gent,70.8,70.6,"39,437",https://www.usnews.com/education/best-global-universities/ghent-university-506883
83,clinical-medicine,136,University of Alberta,Canada,Edmonton,70.7,67.1,"32,338",https://www.usnews.com/education/best-global-universities/university-of-alberta-499977
84,clinical-medicine,186,Maastricht University,Netherlands,Maastricht,70.6,63.6,N/A,https://www.usnews.com/education/best-global-universities/maastricht-university-505759
85,clinical-medicine,109,Aarhus University,Denmark,Aarhus,70.5,69.1,"26,475",https://www.usnews.com/education/best-global-universities/aarhus-university-502125
86,clinical-medicine,140,Kyoto University,Japan,Kyoto,70.5,66.9,N/A,https://www.usnews.com/education/best-global-universities/kyoto-university-505388
87,clinical-medicine,167,University of Utah,United States,Salt Lake City,70.4,65.4,"30,967",https://www.usnews.com/education/best-global-universities/university-of-utah-230764
88,clinical-medicine,156,Universite de Montreal,Canada,Montreal,70.3,65.9,"38,189",https://www.usnews.com/education/best-global-universities/universite-de-montreal-506159
89,clinical-medicine,99,University of Helsinki,Finland,Helsinki,70.3,70.3,N/A,https://www.usnews.com/education/best-global-universities/university-of-helsinki-501989
90,clinical-medicine,175,University of Calgary,Canada,Calgary,69.8,64.2,"33,560",https://www.usnews.com/education/best-global-universities/university-of-calgary-499975
91,clinical-medicine,146,University of Gothenburg,Sweden,Gothenburg,69.8,66.6,"20,901",https://www.usnews.com/education/best-global-universities/university-of-gothenburg-501869
92,clinical-medicine,44,Utrecht University,Netherlands,Utrecht,69.8,75.7,"32,532",https://www.usnews.com/education/best-global-universities/utrecht-university-505962
93,clinical-medicine,112,Lund University,Sweden,Lund,69.7,69,N/A,https://www.usnews.com/education/best-global-universities/lund-university-500083
94,clinical-medicine,119,University of Virginia,United States,Charlottesville,69.7,68.6,N/A,https://www.usnews.com/education/best-global-universities/university-of-virginia-234076
95,clinical-medicine,292,Yonsei University,South Korea,Seoul,69.6,58.8,N/A,https://www.usnews.com/education/best-global-universities/yonsei-university-503801
96,clinical-medicine,81,University of Tokyo,Japan,Tokyo,69.5,72.4,"26,112",https://www.usnews.com/education/best-global-universities/university-of-tokyo-500248
97,clinical-medicine,98,University of Florida,United States,Gainesville,69.4,70.4,"46,807",https://www.usnews.com/education/best-global-universities/university-of-florida-134130
98,clinical-medicine,67,University of Zurich,Switzerland,Zurich,69.4,73.3,"25,255",https://www.usnews.com/education/best-global-universities/university-of-zurich-505287
99,clinical-medicine,37,University of New South Wales Sydney,Australia,Kensington,69.2,77,"45,133",https://www.usnews.com/education/best-global-universities/university-of-new-south-wales-sydney-502434
100,clinical-medicine,115,University of Padua,Italy,Padua,69.1,68.9,"48,524",https://www.usnews.com/education/best-global-universities/university-of-padua-502381
101,clinical-medicine,106,Radboud University Nijmegen,Netherlands,Nijmegen,69,69.4,"21,979",https://www.usnews.com/education/best-global-universities/radboud-university-nijmegen-501519
102,clinical-medicine,263,Sungkyunkwan University (SKKU),South Korea,Seoul,68.9,60,"23,399",https://www.usnews.com/education/best-global-universities/sungkyunkwan-university-skku-500193
103,clinical-medicine,63,University of Wisconsin Madison,United States,Madison,68.9,73.8,"40,701",https://www.usnews.com/education/best-global-universities/university-of-wisconsin-madison-240444
104,clinical-medicine,203,National Taiwan University,Taiwan,Taipei,68.6,62.8,"25,215",https://www.usnews.com/education/best-global-universities/national-taiwan-university-504077
105,clinical-medicine,125,Sapienza University Rome,Italy,Rome,68.5,68,"74,149",https://www.usnews.com/education/best-global-universities/sapienza-university-rome-506550
106,clinical-medicine,129,Sun Yat Sen University,China,Guangzhou,68.5,67.5,"58,208",https://www.usnews.com/education/best-global-universities/sun-yat-sen-university-506062
107,clinical-medicine,149,University of Hamburg,Germany,Hamburg,68.5,66.3,"30,676",https://www.usnews.com/education/best-global-universities/university-of-hamburg-501079
108,clinical-medicine,79,Technical University of Munich,Germany,Munich,68.3,72.6,"33,960",https://www.usnews.com/education/best-global-universities/technical-university-of-munich-503109
109,clinical-medicine,215,University of Ottawa,Canada,Ottawa,68.3,62.2,"36,670",https://www.usnews.com/education/best-global-universities/university-of-ottawa-499972
110,clinical-medicine,125,University of Cape Town,South Africa,Cape Town,68.2,68,"21,069",https://www.usnews.com/education/best-global-universities/university-of-cape-town-504187
111,clinical-medicine,127,Uppsala University,Sweden,Uppsala,68.2,67.8,N/A,https://www.usnews.com/education/best-global-universities/uppsala-university-501990
112,clinical-medicine,180,University of Iowa,United States,Iowa City,68.1,64,"29,257",https://www.usnews.com/education/best-global-universities/university-of-iowa-153658
113,clinical-medicine,150,University of Basel,Switzerland,Basel,68,66.2,N/A,https://www.usnews.com/education/best-global-universities/university-of-basel-502059
114,clinical-medicine,83,University of Western Australia,Australia,Crawley,68,72.2,"18,405",https://www.usnews.com/education/best-global-universities/university-of-western-australia-503979
115,clinical-medicine,146,University of Liverpool,United Kingdom,Liverpool,67.7,66.6,"27,145",https://www.usnews.com/education/best-global-universities/university-of-liverpool-506611
116,clinical-medicine,23,Tsinghua University,China,Beijing,67.6,81.3,N/A,https://www.usnews.com/education/best-global-universities/tsinghua-university-503146
117,clinical-medicine,253,University of Miami,United States,Coral Gables,67.5,60.5,"17,047",https://www.usnews.com/education/best-global-universities/university-of-miami-135726
118,clinical-medicine,269,University of Texas Health Science Center Houston,United States,Houston,67.2,59.7,N/A,https://www.usnews.com/education/best-global-universities/university-of-texas-health-science-center-houston-229300
119,clinical-medicine,109,University of Geneva,Switzerland,Geneva,67.1,69.1,N/A,https://www.usnews.com/education/best-global-universities/university-of-geneva-504635
120,clinical-medicine,104,University of Southampton,United Kingdom,Southampton,67.1,69.7,N/A,https://www.usnews.com/education/best-global-universities/university-of-southampton-504892
121,clinical-medicine,593,Peking Union Medical College,China,Beijing,66.9,48.4,N/A,https://www.usnews.com/education/best-global-universities/peking-union-medical-college-529794
122,clinical-medicine,250,National & Kapodistrian University of Athens,Greece,Athens (Greece),66.8,60.6,N/A,https://www.usnews.com/education/best-global-universities/national-kapodistrian-university-of-athens-504988
123,clinical-medicine,156,Newcastle University - UK,United Kingdom,Newcastle upon Tyne,66.8,65.9,"26,920",https://www.usnews.com/education/best-global-universities/newcastle-university-uk-503247
124,clinical-medicine,74,University of Adelaide,Australia,Adelaide,66.8,72.8,"23,102",https://www.usnews.com/education/best-global-universities/university-of-adelaide-504015
125,clinical-medicine,265,Yeshiva University,United States,New York City,66.8,59.9,N/A,https://www.usnews.com/education/best-global-universities/yeshiva-university-197708
126,clinical-medicine,175,Tel Aviv University,Israel,Tel Aviv,66.7,64.2,"23,834",https://www.usnews.com/education/best-global-universities/tel-aviv-university-500052
127,clinical-medicine,129,Brown University,United States,Providence,66.5,67.5,"10,037",https://www.usnews.com/education/best-global-universities/brown-university-217156
128,clinical-medicine,226,Charles University Prague,Czech Republic,Prague,66.5,61.6,"49,787",https://www.usnews.com/education/best-global-universities/charles-university-prague-502397
129,clinical-medicine,203,University of Cincinnati,United States,Cincinnati,66.4,62.8,N/A,https://www.usnews.com/education/best-global-universities/university-of-cincinnati-201885
130,clinical-medicine,140,University of Leeds,United Kingdom,Leeds,66.4,66.9,N/A,https://www.usnews.com/education/best-global-universities/university-of-leeds-505265
131,clinical-medicine,314,Vita-Salute San Raffaele University,Italy,Milan,66.3,57.7,N/A,https://www.usnews.com/education/best-global-universities/vita-salute-san-raffaele-university-501347
132,clinical-medicine,439,Hannover Medical School,Germany,Hannover,66.2,53.5,N/A,https://www.usnews.com/education/best-global-universities/hannover-medical-school-503226
133,clinical-medicine,349,University of Ibadan,Nigeria,Ibadan,66,56.1,N/A,https://www.usnews.com/education/best-global-universities/university-of-ibadan-529052
134,clinical-medicine,286,University of Maryland Baltimore,United States,Baltimore,65.9,59,N/A,https://www.usnews.com/education/best-global-universities/university-of-maryland-baltimore-163259
135,clinical-medicine,170,University of Rochester,United States,Rochester,65.9,64.8,"10,364",https://www.usnews.com/education/best-global-universities/university-of-rochester-195030
136,clinical-medicine,182,University of Lausanne,Switzerland,Lausanne,65.8,63.9,"13,402",https://www.usnews.com/education/best-global-universities/university-of-lausanne-505144
137,clinical-medicine,405,Jefferson University,United States,Philadelphia,65.5,54.3,N/A,https://www.usnews.com/education/best-global-universities/jefferson-university-216366
138,clinical-medicine,273,University of Milano-Bicocca,Italy,Milan,65.5,59.5,N/A,https://www.usnews.com/education/best-global-universities/university-of-milano-bicocca-501339
139,clinical-medicine,145,University of Nottingham,United Kingdom,Nottingham,65.5,66.7,N/A,https://www.usnews.com/education/best-global-universities/university-of-nottingham-503548
140,clinical-medicine,143,Autonomous University of Barcelona,Spain,Barcelona,65.3,66.8,"31,933",https://www.usnews.com/education/best-global-universities/autonomous-university-of-barcelona-505700
141,clinical-medicine,217,University of Leicester,United Kingdom,Leicester,65.3,62.1,N/A,https://www.usnews.com/education/best-global-universities/university-of-leicester-501221
142,clinical-medicine,73,University of California Davis,United States,Davis,65.2,72.9,N/A,https://www.usnews.com/education/best-global-universities/university-of-california-davis-110644
143,clinical-medicine,93,University of Bristol,United Kingdom,Bristol,65.1,70.7,"25,660",https://www.usnews.com/education/best-global-universities/university-of-bristol-505342
144,clinical-medicine,4,University of California Berkeley,United States,Berkeley,64.5,88.7,"40,921",https://www.usnews.com/education/best-global-universities/university-of-california-berkeley-110635
145,clinical-medicine,239,Tufts University,United States,Medford,64.4,61.1,"11,399",https://www.usnews.com/education/best-global-universities/tufts-university-168148
146,clinical-medicine,108,University of Arizona,United States,Tucson,64.2,69.2,"39,797",https://www.usnews.com/education/best-global-universities/university-of-arizona-104179
147,clinical-medicine,123,University of Auckland,New Zealand,Auckland,64.2,68.2,"33,093",https://www.usnews.com/education/best-global-universities/university-of-auckland-503786
148,clinical-medicine,150,Wuhan University,China,Wuhan,64.2,66.2,N/A,https://www.usnews.com/education/best-global-universities/wuhan-university-503252
149,clinical-medicine,432,Medical University of South Carolina,United States,Charleston,64.1,53.6,N/A,https://www.usnews.com/education/best-global-universities/medical-university-of-south-carolina-218335
150,clinical-medicine,356,University of Colorado Denver,United States,Denver,64.1,55.8,N/A,https://www.usnews.com/education/best-global-universities/university-of-colorado-denver-126562
151,clinical-medicine,209,University of Turin,Italy,Turin,64,62.5,"58,463",https://www.usnews.com/education/best-global-universities/university-of-turin-502528
152,clinical-medicine,178,Aix-Marseille Universite,France,Marseille,63.9,64.1,"70,054",https://www.usnews.com/education/best-global-universities/aix-marseille-universite-528917
